target,oversampled,clf,reg1,reg2,reg0_is_post,reg1_is_post,reg2_is_post,mae,amae
3,True,HistGradientBoosting,RandomForest,RandomForest,False,False,True,1.0495966229257152,4723.270022218177
3,True,HistGradientBoosting,RandomForest,RandomForest,False,True,False,2.6145311467565624,4091.855050285879
3,True,HistGradientBoosting,RandomForest,RandomForest,False,True,True,2.3364982294770074,4406.89389246944
3,True,HistGradientBoosting,RandomForest,RandomForest,True,False,False,1.3406611716388215,4408.175769633303
3,True,HistGradientBoosting,RandomForest,RandomForest,True,False,True,1.0626282543592664,4723.214611816865
3,True,HistGradientBoosting,RandomForest,RandomForest,True,True,False,2.6275627781901134,4091.799639884567
3,True,HistGradientBoosting,RandomForest,RandomForest,True,True,True,2.349529860910559,4406.83848206813
4,False,XGB,HistGradientBoosting,RandomForest,False,False,False,0.7303683293066658,3490.369785250381
4,False,XGB,HistGradientBoosting,RandomForest,False,False,True,0.7006503997004112,3657.8553457055696
4,False,XGB,HistGradientBoosting,RandomForest,False,True,False,0.7498821960102594,3452.307322413972
4,False,XGB,HistGradientBoosting,RandomForest,False,True,True,0.7201642664040048,3619.79288286916
4,False,XGB,HistGradientBoosting,RandomForest,True,False,False,0.7303663098013302,3490.369556453927
4,False,XGB,HistGradientBoosting,RandomForest,True,False,True,0.7006483801950756,3657.855116909116
4,False,XGB,HistGradientBoosting,RandomForest,True,True,False,0.7498801765049237,3452.3070936175186
4,False,XGB,HistGradientBoosting,RandomForest,True,True,True,0.720162246898669,3619.792654072707
4,True,HistGradientBoosting,RandomForest,RandomForest,False,False,False,1.0147494096237522,2757.155050361182
4,True,HistGradientBoosting,RandomForest,RandomForest,False,False,True,0.9079477635848588,2848.343040024957
4,True,HistGradientBoosting,RandomForest,RandomForest,False,True,False,1.3623491897143942,2712.6389284883226
4,True,HistGradientBoosting,RandomForest,RandomForest,False,True,True,1.255547543675501,2803.8269181520973
4,True,HistGradientBoosting,RandomForest,RandomForest,True,False,False,1.0147517860569313,2757.1550343350204
4,True,HistGradientBoosting,RandomForest,RandomForest,True,False,True,0.907950140018038,2848.343023998795
4,True,HistGradientBoosting,RandomForest,RandomForest,True,True,False,1.3623515661475734,2712.638912462161
4,True,HistGradientBoosting,RandomForest,RandomForest,True,True,True,1.2555499201086802,2803.826902125936
