target,slice_point,oversampled,model_name,model
4,9.70,True,RandomForest,reg1
4,9.75,True,RandomForest,reg1
4,9.80,True,RandomForest,reg1
4,9.85,True,RandomForest,reg1
4,9.90,True,RandomForest,reg1
4,9.95,True,RandomForest,reg1
4,9.05,True,RandomForest,reg2
4,9.10,True,RandomForest,reg2
4,9.15,True,RandomForest,reg2
4,9.20,True,RandomForest,reg2
4,9.25,True,RandomForest,reg2
4,9.30,True,RandomForest,reg2
4,9.35,True,RandomForest,reg2
4,9.40,True,RandomForest,reg2
4,9.45,True,RandomForest,reg2
4,9.50,True,RandomForest,reg2
4,9.55,True,RandomForest,reg2
4,9.60,True,RandomForest,reg2
4,9.65,True,RandomForest,reg2
4,9.70,True,RandomForest,reg2
4,9.75,True,RandomForest,reg2
4,9.80,True,RandomForest,reg2
4,9.85,True,RandomForest,reg2
4,9.90,True,RandomForest,reg2
4,9.95,True,RandomForest,reg2
